X,Y,time,video
17.1039,48.139655,16:59:01,612
17.103849,48.139656,16:59:02,613
17.103797,48.139656,16:59:03,614
17.103747,48.139655,16:59:04,615
17.103696,48.139654,16:59:05,616
17.103646,48.139649,16:59:06,617
17.103595,48.139641,16:59:07,618
17.103544,48.139632,16:59:08,619
17.103492,48.139625,16:59:09,620
17.103441,48.139621,16:59:10,621
17.103388,48.139621,16:59:11,622
17.103334,48.139617,16:59:12,623
17.103283,48.139618,16:59:13,624
17.103226,48.139624,16:59:14,625
17.103171,48.139641,16:59:15,626
17.103116,48.139655,16:59:16,627
17.103063,48.13966,16:59:17,628
17.103006,48.139663,16:59:18,629
17.102951,48.139669,16:59:19,630
17.102896,48.139677,16:59:20,631
17.102839,48.139687,16:59:21,632
17.102782,48.139696,16:59:22,633
17.102726,48.139704,16:59:23,634
17.102673,48.139705,16:59:24,635
17.102623,48.139703,16:59:25,636
17.102572,48.139708,16:59:26,637
17.10252,48.139717,16:59:27,638
17.102467,48.139727,16:59:28,639
17.10241,48.139732,16:59:29,640
17.102351,48.139737,16:59:30,641
17.10229,48.13974,16:59:31,642
17.10223,48.139741,16:59:32,643
17.102167,48.139739,16:59:33,644
17.102106,48.139739,16:59:34,645
17.102047,48.139739,16:59:35,646
17.101984,48.139733,16:59:36,647
17.101921,48.139726,16:59:37,648
17.101855,48.13972,16:59:38,649
17.101787,48.139719,16:59:39,650
17.101718,48.139722,16:59:40,651
17.101648,48.139725,16:59:41,652
17.101577,48.139731,16:59:42,653
17.101506,48.139737,16:59:43,654
17.101435,48.139745,16:59:44,655
17.101366,48.139754,16:59:45,656
17.101298,48.139765,16:59:46,657
17.101229,48.139771,16:59:47,658
17.10116,48.139775,16:59:48,659
17.101089,48.139778,16:59:49,660
17.101017,48.13978,16:59:50,661
17.100944,48.139781,16:59:51,662
17.100868,48.139782,16:59:52,663
17.100767,48.139778,16:59:53,664
17.100686,48.139777,16:59:54,665
17.100605,48.139773,16:59:55,666
17.100522,48.139767,16:59:56,667
17.10045,48.139759,16:59:57,668
17.100385,48.139758,16:59:58,669
17.100321,48.139767,16:59:59,670
17.100258,48.139779,17:00:00,671
17.100191,48.139786,17:00:01,672
17.10012,48.139789,17:00:02,673
17.100044,48.139789,17:00:03,674
17.099967,48.139784,17:00:04,675
17.09989,48.139778,17:00:05,676
17.099814,48.139775,17:00:06,677
17.099744,48.139773,17:00:07,678
17.099673,48.139771,17:00:08,679
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
